image_path,calories,fat,carbs,protein,name
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1556572657.jpg,114.99999444444444,10.7,6.3,0.8,olives
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1556573514.jpg,28.000000000000004,0.4,5.300000000000001,2.1999999999999997,mixed greens
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1556575014.jpg,114.99999193548388,10.700000000000001,6.3,0.8,olives
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1556575083.jpg,43.0,0.3,9.0,3.4000000000000004,brussels sprouts
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1556575124.jpg,16.0,0.2,3.3999999999999995,0.7000000000000001,celery
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1556575273.jpg,67.96052828947369,4.527631578947369,6.985526315789474,1.8868421052631579,"celery, olives, brussels sprouts"
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1556575327.jpg,67.96052828947369,4.527631578947369,6.985526315789474,1.8868421052631579,"celery, olives, brussels sprouts"
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1556575386.jpg,67.96052302631578,4.527631578947369,6.985526315789474,1.8868421052631579,"olives, brussels sprouts, celery"
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1556575446.jpg,67.96052302631578,4.527631578947369,6.985526315789474,1.8868421052631579,"olives, brussels sprouts, celery"
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1556575499.jpg,67.96052302631578,4.527631578947369,6.985526315789474,1.8868421052631579,"olives, brussels sprouts, celery"
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1556575558.jpg,68.41059801324504,4.557615894039735,7.031788079470198,1.8993377483443707,"celery, olives, brussels sprouts"
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1557853154.jpg,33.00000175438596,0.3,7.999999999999999,0.7000000000000001,strawberries
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1557853229.jpg,155.49999444444444,10.500000000000002,1.2,12.5,eggs
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1557853314.jpg,124.10000215053765,0.2,29.399998924731186,1.6,yam
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1557853429.jpg,119.62064673913045,4.922825724637681,12.106521014492753,6.390217753623189,"strawberries, eggs, yam"
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1557861605.jpg,89.99999487179487,13.0,0.0,18.4,fish
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1557861697.jpg,24.8,0.2,5.8999999999999995,1.0,eggplant
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1557861795.jpg,44.0,2.1,4.3,3.2,caesar salad
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1557861837.jpg,50.31219430894309,4.73739837398374,3.626016260162602,7.071544715447155,"eggplant, caesar salad, fish"
/content/drive/MyDrive/Colab Notebooks/Capstone/hf_food_images/dish_1557862345.jpg,164.99999523809524,3.5999999999999996,0.0,31.000001587301583,chicken
